Year,Region,Country,City,Start_Date,End_Date,Stay_Days,Avg_Rent,Max_Rent,Min_Rent,Days_To_Rent,Area_sqm,Daily_Rent,Rental_Income,Avg_Stay_Days,Max_Stay_Days,Min_Stay_Days
2025,Europe,Germany,Sao Paulo,2025-11-29,2026-01-15,47,1240,1586,1112,27,124,41.33,58280,30.379266666666666,60,1
2023,China,China,Berlin,2023-04-15,2023-06-07,53,1303,2104,1004,1,91,43.43,69059,30.379266666666666,60,1
2021,US,USA,Paris,2021-05-05,2021-06-08,34,1144,1920,783,4,146,38.13,38896,30.379266666666666,60,1
2026,Europe,Italy,Sao Paulo,2026-03-02,2026-03-16,14,1745,2411,1586,6,119,58.17,24430,30.379266666666666,60,1
2025,Europe,Germany,Beijing,2025-03-15,2025-05-09,55,890,1205,785,18,46,29.67,48950,30.379266666666666,60,1
2025,Asia,Japan,Paris,2025-04-07,2025-04-28,21,1617,1930,1450,10,114,53.9,33957,30.379266666666666,60,1
2023,China,China,Paris,2023-02-09,2023-02-25,16,1738,2285,1388,27,70,57.93,27808,30.379266666666666,60,1
2020,China,China,Sao Paulo,2020-07-10,2020-08-23,44,1609,1990,1257,9,63,53.63,70796,30.379266666666666,60,1
2024,China,China,Paris,2024-05-05,2024-06-23,49,1181,2209,1059,25,62,39.37,57869,30.379266666666666,60,1
2021,China,China,Berlin,2021-06-04,2021-07-23,49,1375,2536,1086,25,79,45.83,67375,30.379266666666666,60,1
2024,Asia,India,Sao Paulo,2024-10-19,2024-11-14,26,1390,2392,1028,28,44,46.33,36140,30.379266666666666,60,1
2022,China,China,Sao Paulo,2022-11-03,2022-11-28,25,1433,2537,1211,24,70,47.77,35825,30.379266666666666,60,1
2020,US,USA,Sao Paulo,2020-02-09,2020-03-27,47,1745,2797,1402,8,131,58.17,82015,30.379266666666666,60,1
2023,US,USA,Sao Paulo,2023-02-20,2023-03-21,29,1969,2312,1851,16,67,65.63,57101,30.379266666666666,60,1
2020,China,China,Munich,2020-10-08,2020-10-18,10,1717,2887,1603,29,134,57.23,17170,30.379266666666666,60,1
2024,China,China,Paris,2024-08-18,2024-10-06,49,1376,2481,1070,16,146,45.87,67424,30.379266666666666,60,1
2022,South America,Argentina,Delhi,2022-01-08,2022-02-18,41,1536,2430,1321,24,122,51.2,62976,30.379266666666666,60,1
2025,South America,Brazil,Munich,2025-03-03,2025-04-26,54,1844,2935,1606,19,99,61.47,99576,30.379266666666666,60,1
2020,Europe,France,Tokyo,2020-11-19,2020-12-07,18,802,1472,502,30,65,26.73,14436,30.379266666666666,60,1
2021,China,China,Sao Paulo,2021-02-25,2021-04-14,48,1155,2133,795,30,44,38.5,55440,30.379266666666666,60,1
2021,South America,Argentina,Tokyo,2021-10-06,2021-10-11,5,1824,2446,1461,2,43,60.8,9120,30.379266666666666,60,1
2020,Europe,Italy,Tokyo,2020-03-22,2020-04-03,12,1810,2861,1453,20,138,60.33,21720,30.379266666666666,60,1
2024,South America,Argentina,Rome,2024-06-25,2024-07-12,17,829,1176,648,28,135,27.63,14093,30.379266666666666,60,1
2026,US,USA,Sao Paulo,2026-05-20,2026-06-10,21,1740,2061,1432,15,118,58.0,36540,30.379266666666666,60,1
2021,China,China,New York,2021-10-19,2021-11-03,15,1097,2213,908,10,47,36.57,16455,30.379266666666666,60,1
2026,US,USA,Paris,2026-10-29,2026-12-17,49,1141,1963,996,27,61,38.03,55909,30.379266666666666,60,1
2022,US,USA,Sao Paulo,2022-01-30,2022-03-21,50,1399,1815,1062,26,84,46.63,69950,30.379266666666666,60,1
2026,South America,Argentina,Munich,2026-09-30,2026-10-31,31,1288,1735,1032,3,92,42.93,39928,30.379266666666666,60,1
2021,China,China,Rome,2021-08-23,2021-09-21,29,1918,2655,1677,8,47,63.93,55622,30.379266666666666,60,1
2023,South America,Brazil,Delhi,2023-07-11,2023-07-14,3,1917,2907,1686,28,75,63.9,5751,30.379266666666666,60,1
2026,Europe,Italy,Beijing,2026-11-05,2026-12-10,35,1421,2360,1145,22,75,47.37,49735,30.379266666666666,60,1
2022,China,China,Beijing,2022-10-17,2022-11-16,30,1478,2459,1310,26,87,49.27,44340,30.379266666666666,60,1
2026,China,China,Sao Paulo,2026-10-30,2026-12-23,54,1334,2322,1205,27,20,44.47,72036,30.379266666666666,60,1
2026,US,USA,Delhi,2026-04-17,2026-04-25,8,1889,2412,1602,19,115,62.97,15112,30.379266666666666,60,1
2022,South America,Brazil,Beijing,2022-09-16,2022-10-03,17,1376,1772,1050,29,36,45.87,23392,30.379266666666666,60,1
2024,Asia,Japan,Sao Paulo,2024-09-10,2024-10-27,47,952,1342,652,25,54,31.73,44744,30.379266666666666,60,1
2022,China,China,Paris,2022-08-25,2022-10-23,59,1656,2716,1284,23,67,55.2,97704,30.379266666666666,60,1
2020,China,China,Munich,2020-06-20,2020-06-22,2,1237,1947,923,17,115,41.23,2474,30.379266666666666,60,1
2023,China,China,Tokyo,2023-03-25,2023-05-10,46,1699,2253,1458,24,132,56.63,78154,30.379266666666666,60,1
2021,South America,Argentina,Delhi,2021-11-15,2022-01-12,58,841,1554,509,7,88,28.03,48778,30.379266666666666,60,1
2023,Asia,Japan,Beijing,2023-05-08,2023-06-30,53,1114,2003,724,7,60,37.13,59042,30.379266666666666,60,1
2026,US,USA,Delhi,2026-09-27,2026-10-25,28,1326,1716,1162,13,50,44.2,37128,30.379266666666666,60,1
2024,Asia,Japan,New York,2024-05-05,2024-07-02,58,955,1959,690,14,123,31.83,55390,30.379266666666666,60,1
2021,China,China,Rome,2021-01-04,2021-01-20,16,1427,1801,1114,25,143,47.57,22832,30.379266666666666,60,1
2022,Europe,France,Beijing,2022-12-28,2023-01-08,11,1799,2313,1633,8,137,59.97,19789,30.379266666666666,60,1
2023,US,USA,Tokyo,2023-02-08,2023-03-23,43,1343,2237,1091,15,140,44.77,57749,30.379266666666666,60,1
2026,South America,Argentina,New York,2026-04-05,2026-04-16,11,1587,2263,1252,3,121,52.9,17457,30.379266666666666,60,1
2020,South America,Argentina,Munich,2020-11-24,2021-01-12,49,1316,2265,992,17,69,43.87,64484,30.379266666666666,60,1
2022,South America,Brazil,Rome,2022-03-21,2022-05-01,41,1559,2062,1399,24,117,51.97,63919,30.379266666666666,60,1
2024,Asia,India,Munich,2024-10-30,2024-12-03,34,1244,1854,917,24,77,41.47,42296,30.379266666666666,60,1
2025,US,USA,Delhi,2025-04-15,2025-06-05,51,1201,1709,945,22,30,40.03,61251,30.379266666666666,60,1
2026,South America,Brazil,Delhi,2026-05-27,2026-06-02,6,1240,2148,990,6,144,41.33,7440,30.379266666666666,60,1
2023,Europe,Italy,Rome,2023-05-18,2023-07-11,54,1166,2195,839,7,65,38.87,62964,30.379266666666666,60,1
2021,Asia,India,New York,2021-10-13,2021-11-02,20,1248,1893,880,8,125,41.6,24960,30.379266666666666,60,1
2026,Europe,France,Sao Paulo,2026-07-26,2026-09-17,53,1295,2201,972,8,128,43.17,68635,30.379266666666666,60,1
2026,Asia,Japan,Berlin,2026-03-16,2026-05-04,49,1592,2189,1315,27,145,53.07,78008,30.379266666666666,60,1
2021,Asia,Japan,Munich,2021-11-23,2022-01-05,43,1507,1830,1235,1,140,50.23,64801,30.379266666666666,60,1
2025,Europe,France,Berlin,2025-12-14,2025-12-20,6,867,1233,617,19,56,28.9,5202,30.379266666666666,60,1
2020,China,China,Delhi,2020-07-22,2020-08-25,34,1952,2574,1552,14,89,65.07,66368,30.379266666666666,60,1
2025,China,China,Munich,2025-07-05,2025-07-14,9,1765,2374,1567,5,27,58.83,15885,30.379266666666666,60,1
2021,US,USA,Munich,2021-01-02,2021-02-01,30,801,1836,561,6,96,26.7,24030,30.379266666666666,60,1
2022,China,China,Munich,2022-04-03,2022-04-16,13,888,1414,626,19,145,29.6,11544,30.379266666666666,60,1
2021,US,USA,Berlin,2021-05-25,2021-05-28,3,1571,2273,1373,29,75,52.37,4713,30.379266666666666,60,1
2024,China,China,Delhi,2024-10-21,2024-12-14,54,1292,1706,1118,22,100,43.07,69768,30.379266666666666,60,1
2024,Europe,Italy,Rome,2024-02-05,2024-02-16,11,1153,2278,981,14,63,38.43,12683,30.379266666666666,60,1
2025,Europe,Italy,Rome,2025-04-14,2025-06-06,53,1680,2409,1293,24,131,56.0,89040,30.379266666666666,60,1
2021,China,China,Berlin,2021-06-01,2021-07-02,31,1949,2373,1694,15,142,64.97,60419,30.379266666666666,60,1
2024,Asia,India,Berlin,2024-11-23,2024-12-23,30,1626,2481,1349,7,128,54.2,48780,30.379266666666666,60,1
2022,Europe,Germany,Delhi,2022-06-07,2022-07-19,42,875,1224,694,16,134,29.17,36750,30.379266666666666,60,1
2020,South America,Brazil,Delhi,2020-09-17,2020-09-24,7,1546,2394,1317,13,39,51.53,10822,30.379266666666666,60,1
2024,Asia,Japan,Sao Paulo,2024-05-03,2024-06-19,47,1670,2618,1557,25,99,55.67,78490,30.379266666666666,60,1
2025,Europe,Germany,Berlin,2025-09-14,2025-09-19,5,1556,1907,1340,2,148,51.87,7780,30.379266666666666,60,1
2020,South America,Brazil,Rome,2020-12-04,2021-01-07,34,1789,2875,1443,21,149,59.63,60826,30.379266666666666,60,1
2025,China,China,Munich,2025-04-08,2025-05-08,30,1438,2256,1331,13,33,47.93,43140,30.379266666666666,60,1
2020,Asia,Japan,Tokyo,2020-08-30,2020-10-28,59,1859,2269,1748,29,70,61.97,109681,30.379266666666666,60,1
2026,US,USA,Beijing,2026-07-02,2026-08-11,40,1887,3076,1529,1,146,62.9,75480,30.379266666666666,60,1
2022,China,China,Delhi,2022-07-21,2022-08-06,16,965,1362,721,14,83,32.17,15440,30.379266666666666,60,1
2024,South America,Brazil,Berlin,2024-06-16,2024-07-20,34,1566,2746,1342,5,85,52.2,53244,30.379266666666666,60,1
2023,China,China,Berlin,2023-03-13,2023-04-29,47,1164,2155,856,7,134,38.8,54708,30.379266666666666,60,1
2025,South America,Argentina,Tokyo,2025-07-18,2025-07-30,12,1465,2192,1092,27,103,48.83,17580,30.379266666666666,60,1
2020,China,China,Berlin,2020-03-27,2020-05-04,38,1495,2521,1222,12,42,49.83,56810,30.379266666666666,60,1
2020,Europe,Germany,New York,2020-04-27,2020-06-04,38,1073,2077,783,17,74,35.77,40774,30.379266666666666,60,1
2023,Asia,India,Rome,2023-05-24,2023-06-10,17,1564,2666,1235,6,108,52.13,26588,30.379266666666666,60,1
2025,South America,Brazil,Munich,2025-12-16,2026-01-01,16,963,1887,740,19,75,32.1,15408,30.379266666666666,60,1
2026,Asia,Japan,Berlin,2026-10-16,2026-12-06,51,1730,2366,1453,27,40,57.67,88230,30.379266666666666,60,1
2020,Asia,India,Beijing,2020-06-26,2020-07-22,26,1310,1794,1078,14,100,43.67,34060,30.379266666666666,60,1
2025,Europe,Germany,Munich,2025-07-17,2025-09-15,60,1317,1843,1153,20,90,43.9,79020,30.379266666666666,60,1
2020,South America,Brazil,Tokyo,2020-03-27,2020-05-07,41,954,1281,626,10,131,31.8,39114,30.379266666666666,60,1
2021,South America,Brazil,Munich,2021-04-08,2021-04-30,22,1391,2181,1170,27,145,46.37,30602,30.379266666666666,60,1
2022,US,USA,New York,2022-09-05,2022-09-18,13,1696,2562,1376,10,35,56.53,22048,30.379266666666666,60,1
2024,Asia,Japan,Sao Paulo,2024-01-14,2024-02-19,36,1151,2264,879,3,79,38.37,41436,30.379266666666666,60,1
2022,US,USA,Berlin,2022-02-08,2022-03-21,41,1467,1957,1087,8,128,48.9,60147,30.379266666666666,60,1
2021,Asia,Japan,Munich,2021-06-01,2021-06-06,5,1703,2497,1489,18,148,56.77,8515,30.379266666666666,60,1
2025,Europe,France,Beijing,2025-05-11,2025-06-23,43,1296,1647,934,22,57,43.2,55728,30.379266666666666,60,1
2023,China,China,New York,2023-08-14,2023-08-21,7,1904,2243,1564,29,31,63.47,13328,30.379266666666666,60,1
2025,South America,Argentina,Berlin,2025-01-27,2025-03-17,49,1740,2138,1621,5,76,58.0,85260,30.379266666666666,60,1
2024,US,USA,Berlin,2024-08-11,2024-10-02,52,1817,2413,1661,9,111,60.57,94484,30.379266666666666,60,1
2020,Europe,Germany,Beijing,2020-07-04,2020-07-19,15,949,1656,832,28,88,31.63,14235,30.379266666666666,60,1
2020,Europe,France,Paris,2020-09-07,2020-11-02,56,1176,2229,802,30,84,39.2,65856,30.379266666666666,60,1
2020,South America,Brazil,Rome,2020-07-23,2020-09-14,53,1457,2582,1118,16,93,48.57,77221,30.379266666666666,60,1
2022,Asia,Japan,Tokyo,2022-06-04,2022-08-03,60,924,1584,751,22,65,30.8,55440,30.379266666666666,60,1
2024,China,China,Delhi,2024-09-28,2024-10-28,30,1076,2192,895,30,40,35.87,32280,30.379266666666666,60,1
2021,Asia,Japan,Berlin,2021-02-05,2021-03-20,43,1477,2078,1146,6,72,49.23,63511,30.379266666666666,60,1
2021,China,China,Rome,2021-12-31,2022-02-04,35,1879,2588,1551,21,110,62.63,65765,30.379266666666666,60,1
2020,China,China,Delhi,2020-01-23,2020-02-19,27,1449,2432,1130,15,102,48.3,39123,30.379266666666666,60,1
2021,Asia,Japan,Paris,2021-06-19,2021-07-27,38,1295,1645,1155,26,53,43.17,49210,30.379266666666666,60,1
2020,South America,Argentina,Sao Paulo,2020-06-21,2020-07-27,36,1683,2282,1453,28,27,56.1,60588,30.379266666666666,60,1
2026,Asia,Japan,Munich,2026-01-11,2026-01-26,15,1315,1825,1202,20,71,43.83,19725,30.379266666666666,60,1
2024,US,USA,Beijing,2024-01-26,2024-02-09,14,1216,1691,931,15,107,40.53,17024,30.379266666666666,60,1
2021,Europe,Italy,Berlin,2021-07-11,2021-09-07,58,940,1302,554,1,98,31.33,54520,30.379266666666666,60,1
2024,Asia,Japan,Delhi,2024-06-26,2024-08-11,46,1011,1927,669,8,34,33.7,46506,30.379266666666666,60,1
2022,Europe,Italy,Paris,2022-09-21,2022-11-14,54,1859,2694,1549,17,139,61.97,100386,30.379266666666666,60,1
2026,Europe,France,Beijing,2026-10-04,2026-10-19,15,1386,1966,999,7,86,46.2,20790,30.379266666666666,60,1
2021,US,USA,Beijing,2021-04-10,2021-06-09,60,1647,2654,1270,20,133,54.9,98820,30.379266666666666,60,1
2023,US,USA,Beijing,2023-01-08,2023-02-12,35,1727,2581,1578,6,35,57.57,60445,30.379266666666666,60,1
2021,Asia,Japan,Rome,2021-09-19,2021-10-02,13,1199,2072,999,22,146,39.97,15587,30.379266666666666,60,1
2021,Europe,Germany,Sao Paulo,2021-03-13,2021-04-27,45,1831,2611,1707,7,59,61.03,82395,30.379266666666666,60,1
2023,Asia,India,Sao Paulo,2023-10-04,2023-10-26,22,1919,2338,1699,15,82,63.97,42218,30.379266666666666,60,1
2022,South America,Brazil,Sao Paulo,2022-10-09,2022-10-12,3,1344,2328,1020,18,122,44.8,4032,30.379266666666666,60,1
2024,China,China,Munich,2024-10-02,2024-11-10,39,1378,1883,1211,1,78,45.93,53742,30.379266666666666,60,1
2022,Europe,Italy,Paris,2022-02-06,2022-03-21,43,1102,1495,986,17,92,36.73,47386,30.379266666666666,60,1
2020,China,China,Tokyo,2020-04-08,2020-06-02,55,1929,2473,1555,18,118,64.3,106095,30.379266666666666,60,1
2022,Asia,India,Beijing,2022-10-02,2022-11-05,34,1021,2103,715,22,107,34.03,34714,30.379266666666666,60,1
2025,Europe,Germany,Sao Paulo,2025-07-17,2025-08-10,24,1677,2390,1318,30,99,55.9,40248,30.379266666666666,60,1
2021,Europe,Italy,Tokyo,2021-06-13,2021-08-07,55,1221,2267,907,2,107,40.7,67155,30.379266666666666,60,1
2025,Europe,France,Delhi,2025-01-31,2025-02-06,6,1340,2472,1041,12,119,44.67,8040,30.379266666666666,60,1
2023,Asia,India,Rome,2023-04-09,2023-05-18,39,852,1821,620,23,80,28.4,33228,30.379266666666666,60,1
2020,South America,Brazil,Munich,2020-10-27,2020-12-23,57,844,1696,689,18,83,28.13,48108,30.379266666666666,60,1
2025,China,China,Tokyo,2025-01-26,2025-02-10,15,1454,1889,1192,23,34,48.47,21810,30.379266666666666,60,1
2021,South America,Argentina,Munich,2021-05-16,2021-05-30,14,1942,2762,1680,10,73,64.73,27188,30.379266666666666,60,1
2026,South America,Brazil,Beijing,2026-04-04,2026-05-29,55,931,1436,777,2,55,31.03,51205,30.379266666666666,60,1
2025,US,USA,Berlin,2025-06-25,2025-06-28,3,1531,2316,1359,27,37,51.03,4593,30.379266666666666,60,1
2021,China,China,Delhi,2021-08-10,2021-09-04,25,1139,2049,1037,17,75,37.97,28475,30.379266666666666,60,1
2023,South America,Argentina,Sao Paulo,2023-06-02,2023-06-10,8,1185,1693,978,22,20,39.5,9480,30.379266666666666,60,1
2021,Europe,Italy,Paris,2021-09-02,2021-09-16,14,1484,2187,1328,24,94,49.47,20776,30.379266666666666,60,1
2026,US,USA,Paris,2026-05-21,2026-07-12,52,1008,1390,795,14,83,33.6,52416,30.379266666666666,60,1
2020,South America,Brazil,New York,2020-04-14,2020-05-10,26,1697,2356,1391,12,114,56.57,44122,30.379266666666666,60,1
2023,China,China,Sao Paulo,2023-09-02,2023-09-11,9,1235,2309,990,28,42,41.17,11115,30.379266666666666,60,1
2023,China,China,Tokyo,2023-02-02,2023-02-11,9,1850,2829,1460,3,74,61.67,16650,30.379266666666666,60,1
2025,Asia,Japan,Tokyo,2025-10-10,2025-10-18,8,1194,1894,813,20,139,39.8,9552,30.379266666666666,60,1
2022,China,China,Rome,2022-03-01,2022-04-08,38,1439,2534,1262,23,58,47.97,54682,30.379266666666666,60,1
2024,Europe,France,Berlin,2024-05-21,2024-05-31,10,1172,1743,789,7,146,39.07,11720,30.379266666666666,60,1
2023,Europe,France,Paris,2023-04-13,2023-06-08,56,1140,2236,940,2,28,38.0,63840,30.379266666666666,60,1
2020,US,USA,Berlin,2020-03-16,2020-04-27,42,881,1708,718,10,97,29.37,37002,30.379266666666666,60,1
2021,Europe,Italy,Berlin,2021-04-14,2021-05-29,45,1451,2155,1240,1,37,48.37,65295,30.379266666666666,60,1
2023,US,USA,Sao Paulo,2023-04-27,2023-05-16,19,1618,2660,1478,25,148,53.93,30742,30.379266666666666,60,1
2024,Europe,Italy,New York,2024-09-24,2024-10-18,24,1469,2594,1202,10,136,48.97,35256,30.379266666666666,60,1
2023,US,USA,Tokyo,2023-08-17,2023-09-18,32,1416,2382,1293,22,28,47.2,45312,30.379266666666666,60,1
2024,US,USA,Paris,2024-07-10,2024-08-15,36,1972,2436,1776,25,30,65.73,70992,30.379266666666666,60,1
2025,Europe,Germany,Munich,2025-11-29,2025-12-03,4,1831,3006,1688,9,92,61.03,7324,30.379266666666666,60,1
2020,Asia,India,Tokyo,2020-08-11,2020-09-12,32,1286,2434,1089,6,56,42.87,41152,30.379266666666666,60,1
2023,China,China,Sao Paulo,2023-03-27,2023-04-19,23,1811,2458,1620,3,127,60.37,41653,30.379266666666666,60,1
2021,US,USA,Paris,2021-02-04,2021-02-24,20,1604,2243,1242,12,150,53.47,32080,30.379266666666666,60,1
2025,US,USA,Paris,2025-01-11,2025-02-28,48,1392,2030,1273,14,72,46.4,66816,30.379266666666666,60,1
2020,South America,Argentina,Tokyo,2020-05-05,2020-06-26,52,1140,2030,921,22,89,38.0,59280,30.379266666666666,60,1
2020,Europe,France,Munich,2020-04-20,2020-05-27,37,1198,2286,908,20,35,39.93,44326,30.379266666666666,60,1
2025,US,USA,Munich,2025-05-11,2025-06-30,50,1556,2730,1189,28,96,51.87,77800,30.379266666666666,60,1
2022,Asia,India,Paris,2022-05-18,2022-05-28,10,1234,2359,991,30,57,41.13,12340,30.379266666666666,60,1
2026,Asia,India,Paris,2026-05-19,2026-06-24,36,886,1795,755,16,100,29.53,31896,30.379266666666666,60,1
2021,US,USA,Tokyo,2021-09-13,2021-11-06,54,837,1233,454,11,86,27.9,45198,30.379266666666666,60,1
2024,South America,Argentina,Rome,2024-11-13,2024-12-06,23,1602,2118,1276,19,33,53.4,36846,30.379266666666666,60,1
2024,China,China,Sao Paulo,2024-10-24,2024-12-13,50,1008,2193,706,16,137,33.6,50400,30.379266666666666,60,1
2022,South America,Brazil,Delhi,2022-01-24,2022-03-15,50,1618,2711,1251,15,64,53.93,80900,30.379266666666666,60,1
2025,South America,Brazil,Beijing,2025-08-11,2025-08-18,7,1400,2131,1153,6,68,46.67,9800,30.379266666666666,60,1
2026,China,China,Tokyo,2026-10-02,2026-10-25,23,1596,2320,1264,30,141,53.2,36708,30.379266666666666,60,1
2022,Europe,Italy,Tokyo,2022-10-25,2022-12-13,49,1482,2559,1321,16,49,49.4,72618,30.379266666666666,60,1
2022,US,USA,Paris,2022-06-17,2022-08-03,47,1084,2090,888,1,114,36.13,50948,30.379266666666666,60,1
2025,US,USA,Tokyo,2025-11-02,2025-12-31,59,1836,2900,1585,9,115,61.2,108324,30.379266666666666,60,1
2024,Europe,France,Beijing,2024-09-18,2024-10-11,23,1169,1959,997,9,51,38.97,26887,30.379266666666666,60,1
2026,China,China,Delhi,2026-07-08,2026-08-12,35,943,1300,649,9,136,31.43,33005,30.379266666666666,60,1
2024,Asia,India,Paris,2024-05-01,2024-06-01,31,883,1645,774,13,35,29.43,27373,30.379266666666666,60,1
2025,South America,Brazil,Munich,2025-04-26,2025-05-31,35,1533,1894,1374,6,100,51.1,53655,30.379266666666666,60,1
2023,US,USA,Rome,2023-12-04,2023-12-08,4,889,1592,553,7,143,29.63,3556,30.379266666666666,60,1
2024,Asia,Japan,New York,2024-01-01,2024-02-05,35,936,1349,730,7,147,31.2,32760,30.379266666666666,60,1
2025,US,USA,Tokyo,2025-10-20,2025-11-09,20,1026,1716,887,11,116,34.2,20520,30.379266666666666,60,1
2022,Europe,Germany,Rome,2022-06-29,2022-08-23,55,1715,2614,1448,18,55,57.17,94325,30.379266666666666,60,1
2020,China,China,Paris,2020-03-19,2020-03-24,5,1614,2699,1261,18,50,53.8,8070,30.379266666666666,60,1
2024,South America,Brazil,Sao Paulo,2024-05-21,2024-06-08,18,1296,2154,1119,9,135,43.2,23328,30.379266666666666,60,1
2024,South America,Brazil,Sao Paulo,2024-01-29,2024-03-07,38,1945,2285,1622,28,76,64.83,73910,30.379266666666666,60,1
2023,Asia,India,Rome,2023-10-07,2023-11-23,47,880,1526,657,8,63,29.33,41360,30.379266666666666,60,1
2022,US,USA,Rome,2022-03-03,2022-04-29,57,838,1942,475,15,71,27.93,47766,30.379266666666666,60,1
2025,China,China,Munich,2025-01-22,2025-01-26,4,1119,1549,970,29,137,37.3,4476,30.379266666666666,60,1
2022,China,China,Munich,2022-05-10,2022-05-31,21,954,1817,584,25,112,31.8,20034,30.379266666666666,60,1
2021,Asia,Japan,Berlin,2021-02-08,2021-03-04,24,1728,2070,1472,16,49,57.6,41472,30.379266666666666,60,1
2023,Europe,Germany,Munich,2023-08-17,2023-09-09,23,1264,2174,969,5,67,42.13,29072,30.379266666666666,60,1
2020,China,China,Rome,2020-11-14,2021-01-11,58,1819,2928,1430,30,64,60.63,105502,30.379266666666666,60,1
2021,Asia,India,Berlin,2021-08-01,2021-08-10,9,1910,2942,1663,14,137,63.67,17190,30.379266666666666,60,1
2026,Europe,Italy,Paris,2026-05-29,2026-07-19,51,1725,2134,1337,19,33,57.5,87975,30.379266666666666,60,1
2021,China,China,Tokyo,2021-04-27,2021-06-12,46,1893,2589,1651,8,145,63.1,87078,30.379266666666666,60,1
2021,US,USA,Paris,2021-07-18,2021-08-23,36,1378,2511,1160,3,73,45.93,49608,30.379266666666666,60,1
2023,China,China,Delhi,2023-06-04,2023-06-05,1,1353,1878,962,19,20,45.1,1353,30.379266666666666,60,1
2022,China,China,New York,2022-10-14,2022-11-03,20,1596,2620,1491,23,81,53.2,31920,30.379266666666666,60,1
2023,South America,Argentina,Rome,2023-12-16,2024-01-19,34,1045,1429,840,5,147,34.83,35530,30.379266666666666,60,1
2021,Europe,Germany,Berlin,2021-03-19,2021-03-25,6,1341,1666,1174,8,24,44.7,8046,30.379266666666666,60,1
2020,China,China,Paris,2020-06-16,2020-07-11,25,970,1952,597,13,26,32.33,24250,30.379266666666666,60,1
2025,US,USA,Paris,2025-04-21,2025-04-26,5,1732,2913,1516,7,130,57.73,8660,30.379266666666666,60,1
2023,US,USA,Sao Paulo,2023-12-28,2024-02-11,45,1264,1941,1026,28,62,42.13,56880,30.379266666666666,60,1
2024,Asia,India,Paris,2024-03-01,2024-03-16,15,1458,2298,1137,3,106,48.6,21870,30.379266666666666,60,1
2026,China,China,Sao Paulo,2026-01-02,2026-02-12,41,1177,2354,847,9,104,39.23,48257,30.379266666666666,60,1
2020,South America,Argentina,Delhi,2020-05-24,2020-06-07,14,1496,2383,1282,2,131,49.87,20944,30.379266666666666,60,1
2022,US,USA,Delhi,2022-08-17,2022-09-23,37,1486,2620,1226,11,97,49.53,54982,30.379266666666666,60,1
2026,Europe,France,Sao Paulo,2026-03-05,2026-04-17,43,1530,2109,1418,22,95,51.0,65790,30.379266666666666,60,1
2025,China,China,Munich,2025-05-02,2025-05-19,17,990,1635,744,7,101,33.0,16830,30.379266666666666,60,1
2024,Asia,India,Rome,2024-01-02,2024-02-21,50,973,1294,576,11,65,32.43,48650,30.379266666666666,60,1
2022,South America,Argentina,Paris,2022-08-10,2022-08-17,7,1609,2792,1306,15,37,53.63,11263,30.379266666666666,60,1
2021,US,USA,Beijing,2021-01-25,2021-03-16,50,1402,2483,1205,13,131,46.73,70100,30.379266666666666,60,1
2023,South America,Argentina,Beijing,2023-05-17,2023-06-15,29,1627,2412,1524,11,21,54.23,47183,30.379266666666666,60,1
2021,Europe,Germany,Tokyo,2021-05-06,2021-06-21,46,876,1531,555,15,50,29.2,40296,30.379266666666666,60,1
2023,China,China,Tokyo,2023-03-10,2023-03-13,3,1515,2017,1305,20,101,50.5,4545,30.379266666666666,60,1
2026,China,China,Sao Paulo,2026-01-01,2026-02-15,45,1180,1722,944,22,138,39.33,53100,30.379266666666666,60,1
2021,Europe,Italy,New York,2021-07-04,2021-08-29,56,1557,2131,1158,5,134,51.9,87192,30.379266666666666,60,1
2023,Europe,France,Sao Paulo,2023-10-21,2023-11-10,20,994,2028,872,30,118,33.13,19880,30.379266666666666,60,1
2021,Europe,Germany,Berlin,2021-10-15,2021-12-13,59,1510,2218,1324,27,48,50.33,89090,30.379266666666666,60,1
2026,US,USA,Berlin,2026-04-15,2026-06-03,49,837,1862,731,6,81,27.9,41013,30.379266666666666,60,1
2020,US,USA,Rome,2020-11-26,2020-12-01,5,1894,2479,1703,21,134,63.13,9470,30.379266666666666,60,1
2023,Europe,Italy,Delhi,2023-12-30,2024-01-01,2,1436,1955,1173,13,82,47.87,2872,30.379266666666666,60,1
2021,US,USA,Delhi,2021-07-12,2021-09-05,55,1699,2245,1524,6,67,56.63,93445,30.379266666666666,60,1
2022,Europe,Germany,Munich,2022-01-10,2022-02-02,23,851,1683,591,19,111,28.37,19573,30.379266666666666,60,1
2025,China,China,Delhi,2025-10-10,2025-10-29,19,1394,2042,1262,17,101,46.47,26486,30.379266666666666,60,1
2020,China,China,Paris,2020-01-03,2020-02-05,33,1125,2212,739,1,29,37.5,37125,30.379266666666666,60,1
2024,South America,Argentina,New York,2024-06-14,2024-07-14,30,1340,2123,1114,10,120,44.67,40200,30.379266666666666,60,1
2023,Europe,Germany,Tokyo,2023-06-10,2023-08-07,58,1946,2524,1581,24,64,64.87,112868,30.379266666666666,60,1
2025,US,USA,Paris,2025-03-05,2025-03-12,7,1468,2100,1110,29,96,48.93,10276,30.379266666666666,60,1
2025,Europe,France,New York,2025-12-11,2026-01-15,35,1504,2290,1188,7,64,50.13,52640,30.379266666666666,60,1
2024,Europe,France,Sao Paulo,2024-08-23,2024-09-16,24,1595,2462,1305,24,138,53.17,38280,30.379266666666666,60,1
